slice,probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
eval_nonholdout,ridge,episode,continuous,future_action_mean,0,0.7193119129809296,0.42577553855401284,0.03053585070532173,0.12344855204288514,917419,264212,130503,0.006525754928588867,,
eval_nonholdout,ridge,episode,continuous,future_action_mean,1,0.8031791127793904,0.42577553855401284,0.02858443325014549,0.12344855204288514,917419,264212,130503,0.006525754928588867,,
eval_nonholdout,ridge,episode,continuous,future_action_mean,2,0.8451607071154376,0.42577553855401284,0.029181697294066996,0.12344855204288514,917419,264212,130503,0.006525754928588867,,
eval_nonholdout,ridge,episode,continuous,future_action_mean,3,0.17371349979617023,0.42577553855401284,0.001220729107955603,0.12344855204288514,917419,264212,130503,0.006525754928588867,,
eval_nonholdout,ridge,episode,continuous,future_action_mean,4,0.16560207252902814,0.42577553855401284,0.003333349846942814,0.12344855204288514,917419,264212,130503,0.006525754928588867,,
eval_nonholdout,ridge,episode,continuous,future_action_mean,5,0.07921514424737974,0.42577553855401284,0.005363818062647784,0.12344855204288514,917419,264212,130503,0.006525754928588867,,
eval_nonholdout,ridge,episode,continuous,future_action_mean,6,0.1942463204297542,0.42577553855401284,0.7659199860331155,0.12344855204288514,917419,264212,130503,0.006525754928588867,,
eval_holdout,mlp,episode,continuous,current_action,0,0.9106233527848103,0.788723702043281,0.008744673716038213,0.024844600268245275,247859,69658,34998,4.2613842487335205,132.0,0.024858711287379265
eval_holdout,mlp,episode,continuous,current_action,1,0.9424194154589702,0.788723702043281,0.006130886006353817,0.024844600268245275,247859,69658,34998,4.2613842487335205,132.0,0.024858711287379265
eval_holdout,mlp,episode,continuous,current_action,2,0.950025475615902,0.788723702043281,0.008861643871438429,0.024844600268245275,247859,69658,34998,4.2613842487335205,132.0,0.024858711287379265
eval_holdout,mlp,episode,continuous,current_action,3,0.5677687593812787,0.788723702043281,0.0005307424586335004,0.024844600268245275,247859,69658,34998,4.2613842487335205,132.0,0.024858711287379265
eval_holdout,mlp,episode,continuous,current_action,4,0.5348305982482633,0.788723702043281,0.0011903146323552299,0.024844600268245275,247859,69658,34998,4.2613842487335205,132.0,0.024858711287379265
eval_holdout,mlp,episode,continuous,current_action,5,0.7607980966598951,0.788723702043281,0.0030568903216589287,0.024844600268245275,247859,69658,34998,4.2613842487335205,132.0,0.024858711287379265
eval_holdout,mlp,episode,continuous,current_action,6,0.8546002161538471,0.788723702043281,0.1453970508712388,0.024844600268245275,247859,69658,34998,4.2613842487335205,132.0,0.024858711287379265
