model,checkpoint,source,tsne_x,tsne_y
sharedlam2,001000,robot_3cam,69.46,10.37
sharedlam2,001000,robot_3cam,-1.11,-29.4
sharedlam2,001000,robot_3cam,43.15,12.75
sharedlam2,001000,robot_3cam,30.59,-6.55
sharedlam2,001000,robot_3cam,33.62,1.6
sharedlam2,001000,robot_3cam,68.59,-25.9
sharedlam2,001000,robot_3cam,4.92,-29.08
sharedlam2,001000,robot_3cam,52.41,25.07
sharedlam2,001000,robot_3cam,19.79,-12.65
sharedlam2,001000,robot_3cam,77.71,-5.72
sharedlam2,001000,robot_3cam,25.52,-44.46
sharedlam2,001000,robot_3cam,6.95,-42.99
sharedlam2,001000,robot_3cam,41.96,5.75
sharedlam2,001000,robot_3cam,-1.66,-31.73
sharedlam2,001000,robot_3cam,55.31,28.77
sharedlam2,001000,robot_3cam,40.59,-25.87
sharedlam2,001000,robot_3cam,41.14,-5.3
sharedlam2,001000,robot_3cam,56.37,-35.71
sharedlam2,001000,robot_3cam,66.37,-27.06
sharedlam2,001000,robot_3cam,79.92,-16.43
sharedlam2,001000,robot_3cam,54.73,-2.83
sharedlam2,001000,robot_3cam,52.55,21.79
sharedlam2,001000,robot_3cam,29.86,4.96
sharedlam2,001000,robot_3cam,67.5,-10.84
sharedlam2,001000,robot_3cam,32.51,-27.56
sharedlam2,001000,robot_3cam,69.4,10.41
sharedlam2,001000,robot_3cam,46.41,-28.76
sharedlam2,001000,robot_3cam,25.92,-17.5
sharedlam2,001000,robot_3cam,46.5,25.37
sharedlam2,001000,robot_3cam,34.86,-26.2
sharedlam2,001000,robot_3cam,46.13,-18.46
sharedlam2,001000,robot_3cam,38.7,21.22
sharedlam2,001000,robot_3cam,3.32,-23.88
sharedlam2,001000,robot_3cam,19.26,-3.04
sharedlam2,001000,robot_3cam,5.16,-29.16
sharedlam2,001000,robot_3cam,40.04,-22.81
sharedlam2,001000,robot_3cam,46.39,25.09
sharedlam2,001000,robot_3cam,48.01,25.77
sharedlam2,001000,robot_3cam,72.34,-7.67
sharedlam2,001000,robot_3cam,48.66,-1.54
sharedlam2,001000,robot_3cam,3.42,47.77
sharedlam2,001000,robot_3cam,27.05,-7.35
sharedlam2,001000,robot_3cam,47.11,26.53
sharedlam2,001000,robot_3cam,43.77,8.8
sharedlam2,001000,robot_3cam,-0.73,-27.48
sharedlam2,001000,robot_3cam,69.23,24.9
sharedlam2,001000,robot_3cam,38.56,19.46
sharedlam2,001000,robot_3cam,35.73,12.74
sharedlam2,001000,robot_3cam,2.12,-22.58
sharedlam2,001000,robot_3cam,17.08,-9.22
sharedlam2,001000,robot_3cam,4.48,50.47
sharedlam2,001000,robot_3cam,78.31,-10.19
sharedlam2,001000,robot_3cam,52.48,-45.92
sharedlam2,001000,robot_3cam,52.35,25.07
sharedlam2,001000,robot_3cam,69.91,-39.9
sharedlam2,001000,robot_3cam,43.24,-19.28
sharedlam2,001000,robot_3cam,39.84,19.22
sharedlam2,001000,robot_3cam,71.54,-8.53
sharedlam2,001000,robot_3cam,3.36,-20.35
sharedlam2,001000,robot_3cam,52.74,-32.14
sharedlam2,001000,robot_3cam,64.7,-6.81
sharedlam2,001000,robot_3cam,-3.6,47.94
sharedlam2,001000,robot_3cam,43.34,8.41
sharedlam2,001000,robot_3cam,19.87,-4.88
sharedlam2,001000,robot_3cam,62.5,10.75
sharedlam2,001000,robot_3cam,74.08,-8.78
sharedlam2,001000,robot_3cam,69.07,-11.21
sharedlam2,001000,robot_3cam,78.25,25.0
sharedlam2,001000,robot_3cam,55.66,28.49
sharedlam2,001000,robot_3cam,44.39,8.85
sharedlam2,001000,robot_3cam,42.04,8.62
sharedlam2,001000,robot_3cam,64.63,5.46
sharedlam2,001000,robot_3cam,60.95,16.38
sharedlam2,001000,robot_3cam,45.01,6.93
sharedlam2,001000,robot_3cam,46.47,24.97
sharedlam2,001000,robot_3cam,43.62,-8.23
sharedlam2,001000,robot_3cam,57.16,-36.96
sharedlam2,001000,robot_3cam,56.21,-2.25
sharedlam2,001000,robot_3cam,33.4,-15.54
sharedlam2,001000,robot_3cam,5.14,-32.2
