model,checkpoint,view,source,tsne_x,tsne_y
sharedlam2,030000,raw,robot_3cam,64.04,10.51
sharedlam2,030000,raw,robot_3cam,60.49,-9.15
sharedlam2,030000,raw,robot_3cam,49.59,-10.91
sharedlam2,030000,raw,robot_3cam,39.59,-0.44
sharedlam2,030000,raw,robot_3cam,7.93,-34.57
sharedlam2,030000,raw,robot_3cam,24.75,-39.71
sharedlam2,030000,raw,robot_3cam,32.12,-25.0
sharedlam2,030000,raw,robot_3cam,14.81,-36.03
sharedlam2,030000,raw,robot_3cam,-6.71,-61.66
sharedlam2,030000,raw,robot_3cam,-9.24,-53.56
sharedlam2,030000,raw,robot_3cam,39.34,17.23
sharedlam2,030000,raw,robot_3cam,79.15,1.51
sharedlam2,030000,raw,robot_3cam,60.79,-16.17
sharedlam2,030000,raw,robot_3cam,43.62,5.13
sharedlam2,030000,raw,robot_3cam,33.61,-23.01
sharedlam2,030000,raw,robot_3cam,34.84,-24.91
sharedlam2,030000,raw,robot_3cam,56.15,-33.45
sharedlam2,030000,raw,robot_3cam,54.19,12.69
sharedlam2,030000,raw,robot_3cam,32.81,-26.82
sharedlam2,030000,raw,robot_3cam,17.69,-40.94
sharedlam2,030000,raw,robot_3cam,54.03,18.88
sharedlam2,030000,raw,robot_3cam,43.21,-40.43
sharedlam2,030000,raw,robot_3cam,-2.49,-20.45
sharedlam2,030000,raw,robot_3cam,27.2,-38.33
sharedlam2,030000,raw,robot_3cam,59.39,-27.77
sharedlam2,030000,raw,robot_3cam,10.8,-4.36
sharedlam2,030000,raw,robot_3cam,4.98,6.21
sharedlam2,030000,raw,robot_3cam,52.97,-48.12
sharedlam2,030000,raw,robot_3cam,-1.04,-56.29
sharedlam2,030000,raw,robot_3cam,70.15,-19.71
sharedlam2,030000,raw,robot_3cam,27.74,22.98
sharedlam2,030000,raw,robot_3cam,30.63,15.0
sharedlam2,030000,raw,robot_3cam,47.34,-6.66
sharedlam2,030000,raw,robot_3cam,25.97,-38.33
sharedlam2,030000,raw,robot_3cam,56.46,9.99
sharedlam2,030000,raw,robot_3cam,32.2,-23.33
sharedlam2,030000,raw,robot_3cam,45.24,-19.12
sharedlam2,030000,raw,robot_3cam,16.76,-25.35
sharedlam2,030000,raw,robot_3cam,-64.45,-16.77
sharedlam2,030000,raw,robot_3cam,2.64,-1.14
sharedlam2,030000,raw,robot_3cam,-1.56,-16.37
sharedlam2,030000,raw,robot_3cam,72.18,-20.54
sharedlam2,030000,raw,robot_3cam,73.33,-18.56
sharedlam2,030000,raw,robot_3cam,69.88,-7.08
sharedlam2,030000,raw,robot_3cam,38.93,16.86
sharedlam2,030000,raw,robot_3cam,78.35,-3.18
sharedlam2,030000,raw,robot_3cam,59.87,12.82
sharedlam2,030000,raw,robot_3cam,30.86,-6.09
sharedlam2,030000,raw,robot_3cam,35.81,-34.01
sharedlam2,030000,raw,robot_3cam,32.42,-31.89
sharedlam2,030000,raw,robot_3cam,17.88,-50.18
sharedlam2,030000,raw,robot_3cam,-2.55,-62.07
sharedlam2,030000,raw,robot_3cam,2.0,-34.98
sharedlam2,030000,raw,robot_3cam,50.44,-30.25
sharedlam2,030000,raw,robot_3cam,27.92,13.22
sharedlam2,030000,raw,robot_3cam,19.92,-59.72
sharedlam2,030000,raw,robot_3cam,23.41,-3.86
sharedlam2,030000,raw,robot_3cam,25.6,-64.97
sharedlam2,030000,raw,robot_3cam,27.16,14.88
sharedlam2,030000,raw,robot_3cam,35.03,-10.02
sharedlam2,030000,raw,robot_3cam,-2.17,-63.81
sharedlam2,030000,raw,robot_3cam,22.46,21.11
sharedlam2,030000,raw,robot_3cam,70.47,-5.51
sharedlam2,030000,raw,robot_3cam,60.49,10.83
sharedlam2,030000,raw,robot_3cam,48.32,23.61
sharedlam2,030000,raw,robot_3cam,71.6,-25.12
sharedlam2,030000,raw,robot_3cam,-66.28,-35.6
sharedlam2,030000,raw,robot_3cam,66.87,-6.19
sharedlam2,030000,raw,robot_3cam,48.61,13.85
sharedlam2,030000,raw,robot_3cam,63.63,9.88
sharedlam2,030000,raw,robot_3cam,30.2,-28.01
sharedlam2,030000,raw,robot_3cam,30.67,24.47
sharedlam2,030000,raw,robot_3cam,73.04,2.36
sharedlam2,030000,raw,robot_3cam,62.16,-32.86
sharedlam2,030000,raw,robot_3cam,61.68,19.65
sharedlam2,030000,raw,robot_3cam,17.34,-37.64
sharedlam2,030000,raw,robot_3cam,10.82,-43.78
sharedlam2,030000,raw,robot_3cam,-4.62,-55.95
sharedlam2,030000,raw,robot_3cam,46.77,-33.41
sharedlam2,030000,raw,robot_3cam,-4.6,-17.49
sharedlam2,030000,raw,robot_3cam,31.91,26.16
sharedlam2,030000,raw,robot_3cam,25.04,-7.01
sharedlam2,030000,raw,robot_3cam,57.95,-4.55
sharedlam2,030000,raw,robot_3cam,42.81,-40.87
sharedlam2,030000,raw,robot_3cam,47.16,-9.74
sharedlam2,030000,raw,robot_3cam,6.14,-43.44
sharedlam2,030000,raw,robot_3cam,18.0,-50.3
sharedlam2,030000,raw,robot_3cam,24.41,-7.7
sharedlam2,030000,raw,robot_3cam,22.54,-11.61
sharedlam2,030000,raw,robot_3cam,48.08,-7.16
sharedlam2,030000,raw,robot_3cam,73.19,-18.56
sharedlam2,030000,raw,robot_3cam,27.18,22.6
