episode_index,task,source_kind,n_valid,ood_maha,agree_ridge_mlp,agree_multi_side,amp_dx,heldout,r2_dx_ridge_multi,r2_dx_ridge_side,r2_xyz_ridge_multi,score,proxy,rank_in_task
1527,yellow brick on pink plate,video_2cam,107,6.5100,0.9414,0.7844,0.0123,False,,,,0.9414,agree_ridge_mlp,23
1529,yellow brick on pink plate,video_2cam,125,6.1372,0.9327,0.7195,0.0160,False,,,,0.9327,agree_ridge_mlp,24
1562,yellow brick on pink plate,video_2cam,131,5.4906,0.9299,0.8103,0.0131,False,,,,0.9299,agree_ridge_mlp,25
1534,yellow brick on pink plate,video_2cam,111,6.4716,0.9289,0.6711,0.0115,False,,,,0.9289,agree_ridge_mlp,26
1559,yellow brick on pink plate,video_2cam,123,5.8922,0.9288,0.7860,0.0139,False,,,,0.9288,agree_ridge_mlp,27
1535,yellow brick on pink plate,video_2cam,117,6.8939,0.9275,0.7658,0.0126,False,,,,0.9275,agree_ridge_mlp,28
1524,yellow brick on pink plate,video_2cam,346,6.2337,0.9269,0.7640,0.0151,False,,,,0.9269,agree_ridge_mlp,29
1565,yellow brick on pink plate,video_2cam,128,5.5738,0.9250,0.8587,0.0151,False,,,,0.9250,agree_ridge_mlp,30
1576,yellow brick on pink plate,video_2cam,123,6.3713,0.9174,0.7344,0.0166,False,,,,0.9174,agree_ridge_mlp,31
1557,yellow brick on pink plate,video_2cam,130,5.8573,0.9165,0.7905,0.0143,False,,,,0.9165,agree_ridge_mlp,32
1579,yellow brick on pink plate,video_2cam,128,5.8153,0.9119,0.7845,0.0141,False,,,,0.9119,agree_ridge_mlp,33
1521,yellow brick on pink plate,video_2cam,135,5.9965,0.9106,0.6338,0.0086,False,,,,0.9106,agree_ridge_mlp,34
1573,yellow brick on pink plate,video_2cam,114,6.9674,0.9087,0.7625,0.0162,False,,,,0.9087,agree_ridge_mlp,35
1571,yellow brick on pink plate,video_2cam,147,6.4663,0.9001,0.7226,0.0130,False,,,,0.9001,agree_ridge_mlp,36
1551,yellow brick on pink plate,video_2cam,126,5.5987,0.8947,0.8029,0.0118,False,,,,0.8947,agree_ridge_mlp,37
