benchmark,method,teacher_job,ckpt_step,probe,target,action_dim,dim_name,r2,n_train,n_test,source_dir,note
realworld,ours_single,44160743,30000,ridge,current_action,2,dz,0.681228,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,ridge,current_action,3,droll,0.280906,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,ridge,current_action,4,dpitch,0.256098,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,ridge,current_action,5,dyaw,0.57895,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,ridge,current_action,6,gripper,0.235413,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,ridge,future_action_mean,0,dx,0.534682,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,ridge,future_action_mean,1,dy,0.358762,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,ridge,future_action_mean,2,dz,0.700536,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,ridge,future_action_mean,3,droll,0.291225,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,ridge,future_action_mean,4,dpitch,0.260677,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,ridge,future_action_mean,5,dyaw,0.595954,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,ridge,future_action_mean,6,gripper,0.236086,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,mlp,current_action,-1,mean,0.677898,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,mlp,future_action_mean,-1,mean,0.676261,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,ridge,current_action,-1,mean,0.415596,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_single,44160743,30000,ridge,future_action_mean,-1,mean,0.425418,119983,36067,sharedlam3sidefull_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"side-only (single-view) DINO768d6 LAM, 30k, sharedlam3"
realworld,ours_multi_newtasks,44227723,30000,mlp,current_action,0,dx,0.411884,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,mlp,current_action,1,dy,0.902623,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,mlp,current_action,2,dz,0.887684,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,mlp,current_action,3,droll,0.459903,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,mlp,current_action,4,dpitch,0.374262,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,mlp,current_action,5,dyaw,0.845964,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,mlp,current_action,6,gripper,0.476886,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,mlp,future_action_mean,0,dx,0.402372,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,mlp,future_action_mean,1,dy,0.906531,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,mlp,future_action_mean,2,dz,0.881783,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,mlp,future_action_mean,3,droll,0.470897,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,mlp,future_action_mean,4,dpitch,0.391534,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,mlp,future_action_mean,5,dyaw,0.841052,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,mlp,future_action_mean,6,gripper,0.461389,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,ridge,current_action,0,dx,0.201479,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,ridge,current_action,1,dy,0.575616,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,ridge,current_action,2,dz,0.678721,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,ridge,current_action,3,droll,0.336677,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,ridge,current_action,4,dpitch,0.184158,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,ridge,current_action,5,dyaw,0.509043,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,ridge,current_action,6,gripper,0.150291,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,ridge,future_action_mean,0,dx,0.241201,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,ridge,future_action_mean,1,dy,0.594591,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,ridge,future_action_mean,2,dz,0.694812,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,ridge,future_action_mean,3,droll,0.353277,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,ridge,future_action_mean,4,dpitch,0.201524,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,ridge,future_action_mean,5,dyaw,0.52417,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,ridge,future_action_mean,6,gripper,0.156883,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,mlp,current_action,-1,mean,0.622744,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,mlp,future_action_mean,-1,mean,0.622223,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,ridge,current_action,-1,mean,0.376569,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi_newtasks,44227723,30000,ridge,future_action_mean,-1,mean,0.395208,91413,27081,sharedlam4full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side LAM on the new-task dataset, 30k, sharedlam4 (different data; not matched)"
realworld,ours_multi,43524549,30000,ridge,abs_action_local,0,dx,0.305496,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
realworld,ours_multi,43524549,30000,ridge,abs_action_local,1,dy,0.593535,137152,35881,"local fit, experiments/fit_decode_realworld.py on the full exports","front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2; local 20%-episode holdout, ridge alpha=1 / MLP(512,256)"
