model,checkpoint,source,umap_x,umap_y
sharedlam2,001000,robot_3cam,10.03,3.8
sharedlam2,001000,robot_3cam,9.38,2.88
sharedlam2,001000,robot_3cam,10.88,4.05
sharedlam2,001000,robot_3cam,11.64,5.8
sharedlam2,001000,robot_3cam,8.07,2.89
sharedlam2,001000,robot_3cam,10.19,3.59
sharedlam2,001000,robot_3cam,12.25,2.56
sharedlam2,001000,robot_3cam,11.63,2.93
sharedlam2,001000,robot_3cam,9.13,4.11
sharedlam2,001000,robot_3cam,10.15,3.02
sharedlam2,001000,robot_3cam,10.42,2.6
sharedlam2,001000,robot_3cam,8.72,2.94
sharedlam2,001000,robot_3cam,11.75,3.56
sharedlam2,001000,robot_3cam,11.72,2.87
sharedlam2,001000,robot_3cam,9.79,2.17
sharedlam2,001000,robot_3cam,6.59,-0.57
sharedlam2,001000,robot_3cam,11.03,2.62
sharedlam2,001000,robot_3cam,8.98,4.01
sharedlam2,001000,robot_3cam,9.32,3.12
sharedlam2,001000,robot_3cam,9.1,4.38
sharedlam2,001000,robot_3cam,11.99,2.23
sharedlam2,001000,robot_3cam,8.56,0.71
sharedlam2,001000,robot_3cam,8.87,1.48
sharedlam2,001000,robot_3cam,8.97,3.61
sharedlam2,001000,robot_3cam,9.01,1.54
sharedlam2,001000,robot_3cam,8.3,0.43
sharedlam2,001000,robot_3cam,9.34,2.91
sharedlam2,001000,robot_3cam,8.84,3.59
sharedlam2,001000,robot_3cam,9.74,2.46
sharedlam2,001000,robot_3cam,8.81,3.31
sharedlam2,001000,robot_3cam,9.52,3.03
sharedlam2,001000,robot_3cam,8.06,2.88
sharedlam2,001000,robot_3cam,8.48,1.99
sharedlam2,001000,robot_3cam,9.88,3.72
sharedlam2,001000,robot_3cam,12.13,2.67
sharedlam2,001000,robot_3cam,15.4,4.4
sharedlam2,001000,robot_3cam,11.76,1.57
sharedlam2,001000,robot_3cam,12.52,2.68
sharedlam2,001000,robot_3cam,10.91,1.47
sharedlam2,001000,robot_3cam,8.98,4.1
sharedlam2,001000,robot_3cam,9.51,2.77
sharedlam2,001000,robot_3cam,9.38,1.02
sharedlam2,001000,robot_3cam,9.84,3.43
sharedlam2,001000,robot_3cam,12.24,2.37
sharedlam2,001000,robot_3cam,8.53,0.64
sharedlam2,001000,robot_3cam,12.24,2.37
sharedlam2,001000,robot_3cam,10.91,2.64
sharedlam2,001000,robot_3cam,9.04,3.29
sharedlam2,001000,robot_3cam,12.44,3.3
sharedlam2,001000,robot_3cam,8.63,0.79
sharedlam2,001000,robot_3cam,12.1,1.88
sharedlam2,001000,robot_3cam,9.1,4.41
sharedlam2,001000,robot_3cam,8.41,0.48
sharedlam2,001000,robot_3cam,11.84,2.34
sharedlam2,001000,robot_3cam,8.7,2.77
sharedlam2,001000,robot_3cam,10.62,2.7
sharedlam2,001000,robot_3cam,10.43,2.77
sharedlam2,001000,robot_3cam,8.77,0.85
sharedlam2,001000,robot_3cam,12.42,2.87
sharedlam2,001000,robot_3cam,8.17,2.81
sharedlam2,001000,robot_3cam,10.08,4.01
sharedlam2,001000,robot_3cam,9.12,0.16
sharedlam2,001000,robot_3cam,8.79,-1.76
sharedlam2,001000,robot_3cam,11.55,2.19
sharedlam2,001000,robot_3cam,7.2,-1.25
sharedlam2,001000,robot_3cam,12.46,3.2
sharedlam2,001000,robot_3cam,8.96,1.85
sharedlam2,001000,robot_3cam,9.23,3.16
sharedlam2,001000,robot_3cam,11.56,1.41
sharedlam2,001000,robot_3cam,10.43,2.6
sharedlam2,001000,robot_3cam,10.14,3.06
sharedlam2,001000,robot_3cam,9.18,3.75
sharedlam2,001000,robot_3cam,12.06,2.89
sharedlam2,001000,robot_3cam,11.09,2.77
sharedlam2,001000,robot_3cam,9.82,3.56
sharedlam2,001000,robot_3cam,11.83,3.02
sharedlam2,001000,robot_3cam,9.04,4.37
sharedlam2,001000,robot_3cam,9.66,1.9
sharedlam2,001000,robot_3cam,8.89,1.41
sharedlam2,001000,robot_3cam,12.23,3.08
sharedlam2,001000,robot_3cam,10.86,1.72
sharedlam2,001000,robot_3cam,9.55,2.9
sharedlam2,001000,robot_3cam,12.0,3.0
sharedlam2,001000,robot_3cam,8.75,1.15
sharedlam2,001000,robot_3cam,7.6,2.66
sharedlam2,001000,robot_3cam,8.76,0.84
sharedlam2,001000,robot_3cam,9.16,2.49
sharedlam2,001000,robot_3cam,12.21,3.02
sharedlam2,001000,robot_3cam,12.27,3.13
sharedlam2,001000,robot_3cam,9.9,3.73
sharedlam2,001000,robot_3cam,8.8,3.54
sharedlam2,001000,robot_3cam,11.65,12.6
sharedlam2,001000,robot_3cam,8.36,2.54
sharedlam2,001000,robot_3cam,12.27,3.15
sharedlam2,001000,robot_3cam,11.68,2.2
sharedlam2,001000,robot_3cam,8.46,0.56
sharedlam2,001000,robot_3cam,10.87,4.06
sharedlam2,001000,robot_3cam,11.99,2.95
sharedlam2,001000,robot_3cam,11.54,2.67
sharedlam2,001000,robot_3cam,8.81,1.04
sharedlam2,001000,robot_3cam,8.03,2.8
sharedlam2,001000,robot_3cam,8.17,13.8
sharedlam2,001000,robot_3cam,10.13,3.73
sharedlam2,001000,robot_3cam,10.72,1.08
sharedlam2,001000,robot_3cam,12.4,2.73
sharedlam2,001000,robot_3cam,12.42,1.64
sharedlam2,001000,robot_3cam,9.12,2.58
sharedlam2,001000,robot_3cam,11.97,2.79
sharedlam2,001000,robot_3cam,9.94,3.78
sharedlam2,001000,robot_3cam,8.88,1.06
sharedlam2,001000,robot_3cam,11.11,1.43
sharedlam2,001000,robot_3cam,9.62,3.98
sharedlam2,001000,robot_3cam,11.15,12.8
sharedlam2,001000,robot_3cam,11.65,2.22
sharedlam2,001000,robot_3cam,7.91,2.75
sharedlam2,001000,robot_3cam,8.99,4.16
sharedlam2,001000,robot_3cam,10.05,3.69
sharedlam2,001000,robot_3cam,9.98,3.62
sharedlam2,001000,robot_3cam,15.32,4.31
sharedlam2,001000,robot_3cam,12.45,3.19
sharedlam2,001000,robot_3cam,11.73,2.21
sharedlam2,001000,robot_3cam,11.54,2.27
sharedlam2,001000,robot_3cam,9.01,4.11
sharedlam2,001000,robot_3cam,11.43,3.69
sharedlam2,001000,robot_3cam,11.8,2.11
sharedlam2,001000,robot_3cam,12.18,3.09
sharedlam2,001000,robot_3cam,9.69,2.99
sharedlam2,001000,robot_3cam,11.56,1.38
sharedlam2,001000,robot_3cam,9.13,3.67
sharedlam2,001000,robot_3cam,9.71,2.31
sharedlam2,001000,robot_3cam,8.6,1.41
sharedlam2,001000,robot_3cam,8.49,0.61
sharedlam2,001000,robot_3cam,12.3,3.16
sharedlam2,001000,robot_3cam,9.6,2.39
sharedlam2,001000,robot_3cam,9.82,3.54
sharedlam2,001000,robot_3cam,9.36,3.77
sharedlam2,001000,robot_3cam,12.19,2.55
sharedlam2,001000,robot_3cam,10.16,3.74
sharedlam2,001000,robot_3cam,8.19,2.51
sharedlam2,001000,robot_3cam,8.54,1.84
sharedlam2,001000,robot_3cam,9.31,4.14
sharedlam2,001000,robot_3cam,11.55,2.26
sharedlam2,001000,robot_3cam,11.55,2.26
sharedlam2,001000,robot_3cam,12.5,2.65
sharedlam2,001000,robot_3cam,9.46,0.86
sharedlam2,001000,robot_3cam,10.35,3.01
