model,model_label,view,source,tsne_x,tsne_y
sharedlam2,front+side,raw latent (8-D),robot_3cam,-38.08,-54.24
sharedlam2,front+side,raw latent (8-D),robot_3cam,-50.92,-30.72
sharedlam2,front+side,raw latent (8-D),robot_3cam,-23.25,-25.96
sharedlam2,front+side,raw latent (8-D),robot_3cam,-11.48,-67.23
sharedlam2,front+side,raw latent (8-D),robot_3cam,-1.64,-27.5
sharedlam2,front+side,raw latent (8-D),robot_3cam,-14.44,-9.37
sharedlam2,front+side,raw latent (8-D),robot_3cam,23.64,-48.7
sharedlam2,front+side,raw latent (8-D),robot_3cam,-26.63,-52.23
sharedlam2,front+side,raw latent (8-D),robot_3cam,-46.27,-54.12
sharedlam2,front+side,raw latent (8-D),robot_3cam,-3.71,-29.35
sharedlam2,front+side,raw latent (8-D),robot_3cam,5.64,-55.57
sharedlam2,front+side,raw latent (8-D),robot_3cam,-18.2,-35.37
sharedlam2,front+side,raw latent (8-D),robot_3cam,-1.97,-52.17
sharedlam2,front+side,raw latent (8-D),robot_3cam,-63.53,-7.57
sharedlam2,front+side,raw latent (8-D),robot_3cam,-21.19,-19.93
sharedlam2,front+side,raw latent (8-D),robot_3cam,-35.97,-60.09
sharedlam2,front+side,raw latent (8-D),robot_3cam,-0.65,-38.2
sharedlam2,front+side,raw latent (8-D),robot_3cam,-44.14,-46.45
sharedlam2,front+side,raw latent (8-D),robot_3cam,-38.79,-41.08
sharedlam2,front+side,raw latent (8-D),robot_3cam,-28.7,-24.44
sharedlam2,front+side,raw latent (8-D),robot_3cam,-54.05,-27.45
sharedlam2,front+side,raw latent (8-D),robot_3cam,-0.87,-27.34
sharedlam2,front+side,raw latent (8-D),robot_3cam,-29.87,-58.38
sharedlam2,front+side,raw latent (8-D),robot_3cam,-14.41,-70.43
sharedlam2,front+side,raw latent (8-D),robot_3cam,7.12,-62.98
sharedlam2,front+side,raw latent (8-D),robot_3cam,-54.4,-4.88
sharedlam2,front+side,raw latent (8-D),robot_3cam,35.29,-35.13
sharedlam2,front+side,raw latent (8-D),robot_3cam,-15.44,-37.09
sharedlam2,front+side,raw latent (8-D),robot_3cam,-19.03,-28.13
sharedlam2,front+side,raw latent (8-D),robot_3cam,-45.83,-8.59
sharedlam2,front+side,raw latent (8-D),robot_3cam,-23.82,-30.97
sharedlam2,front+side,raw latent (8-D),robot_3cam,-67.02,-11.73
