teacher,n_emb,checkpoint,embodiment,umap_x,umap_y
xemb1iiwa,2,001000,franka,-4.89,8.12
xemb1iiwa,2,001000,franka,11.77,25.25
xemb1iiwa,2,001000,franka,-4.49,10.03
xemb1iiwa,2,001000,franka,1.69,22.77
xemb1iiwa,2,001000,franka,12.24,25.04
xemb1iiwa,2,001000,franka,12.23,25.06
xemb1iiwa,2,001000,franka,-4.97,9.93
xemb1iiwa,2,001000,franka,11.16,25.14
xemb1iiwa,2,001000,franka,-4.7,9.96
xemb1iiwa,2,001000,franka,7.95,-3.78
xemb1iiwa,2,001000,franka,7.74,-8.44
xemb1iiwa,2,001000,franka,8.04,-3.79
xemb1iiwa,2,001000,franka,2.15,23.01
xemb1iiwa,2,001000,franka,8.04,-3.79
xemb1iiwa,2,001000,franka,11.03,25.37
xemb1iiwa,2,001000,franka,2.11,22.87
xemb1iiwa,2,001000,franka,-4.27,8.95
xemb1iiwa,2,001000,franka,-4.14,9.73
xemb1iiwa,2,001000,franka,11.64,25.35
xemb1iiwa,2,001000,franka,7.11,-4.0
xemb1iiwa,2,001000,franka,-5.95,5.36
xemb1iiwa,2,001000,franka,7.81,-3.69
xemb1iiwa,2,001000,franka,12.06,25.08
xemb1iiwa,2,001000,franka,-5.75,5.27
xemb1iiwa,2,001000,franka,11.47,25.34
xemb1iiwa,2,001000,franka,11.62,24.92
xemb1iiwa,2,001000,franka,-4.68,7.69
xemb1iiwa,2,001000,franka,-4.04,9.92
xemb1iiwa,2,001000,franka,-4.82,8.47
xemb1iiwa,2,001000,franka,11.53,24.99
xemb1iiwa,2,001000,franka,11.59,25.24
xemb1iiwa,2,001000,franka,11.48,25.45
xemb1iiwa,2,001000,franka,-5.82,5.46
xemb1iiwa,2,001000,franka,-4.2,9.42
xemb1iiwa,2,001000,franka,7.86,-8.38
xemb1iiwa,2,001000,franka,-4.2,9.46
xemb1iiwa,2,001000,franka,12.35,25.32
xemb1iiwa,2,001000,franka,-4.3,9.28
xemb1iiwa,2,001000,franka,-5.53,5.81
xemb1iiwa,2,001000,franka,7.25,-3.95
xemb1iiwa,2,001000,franka,-3.62,9.84
xemb1iiwa,2,001000,franka,11.24,24.44
xemb1iiwa,2,001000,franka,12.38,25.37
xemb1iiwa,2,001000,franka,7.7,-8.37
xemb1iiwa,2,001000,franka,12.12,25.1
xemb1iiwa,2,001000,franka,-3.53,9.3
xemb1iiwa,2,001000,franka,-3.61,10.22
xemb1iiwa,2,001000,franka,11.46,25.3
xemb1iiwa,2,001000,franka,11.98,25.34
xemb1iiwa,2,001000,franka,7.65,-3.71
xemb1iiwa,2,001000,franka,-5.58,5.39
xemb1iiwa,2,001000,franka,2.05,22.99
xemb1iiwa,2,001000,franka,-3.9,10.31
xemb1iiwa,2,001000,franka,-4.06,9.46
xemb1iiwa,2,001000,franka,-3.68,10.09
xemb1iiwa,2,001000,franka,7.69,-8.5
xemb1iiwa,2,001000,franka,11.49,25.29
xemb1iiwa,2,001000,franka,-5.45,5.75
xemb1iiwa,2,001000,franka,7.26,-4.01
xemb1iiwa,2,001000,franka,2.02,23.08
xemb1iiwa,2,001000,franka,-4.71,8.99
xemb1iiwa,2,001000,franka,2.06,22.89
xemb1iiwa,2,001000,franka,3.49,22.73
xemb1iiwa,2,001000,franka,-4.63,10.08
xemb1iiwa,2,001000,franka,-3.58,10.53
xemb1iiwa,2,001000,franka,-4.4,8.86
xemb1iiwa,2,001000,franka,12.59,25.15
xemb1iiwa,2,001000,franka,12.19,25.05
xemb1iiwa,2,001000,franka,-5.23,7.6
xemb1iiwa,2,001000,franka,2.07,22.89
xemb1iiwa,2,001000,franka,8.08,-3.45
xemb1iiwa,2,001000,franka,-4.34,10.03
xemb1iiwa,2,001000,franka,-4.15,9.28
xemb1iiwa,2,001000,franka,6.91,-3.8
xemb1iiwa,2,001000,franka,12.4,25.2
xemb1iiwa,2,001000,franka,7.71,-8.51
xemb1iiwa,2,001000,franka,11.6,25.52
xemb1iiwa,2,001000,franka,-5.27,6.12
xemb1iiwa,2,001000,franka,-4.97,9.91
xemb1iiwa,2,001000,franka,-3.59,9.26
xemb1iiwa,2,001000,franka,12.32,25.16
xemb1iiwa,2,001000,franka,7.86,-3.48
xemb1iiwa,2,001000,franka,-4.5,8.22
xemb1iiwa,2,001000,franka,-3.73,9.53
xemb1iiwa,2,001000,franka,11.7,25.37
xemb1iiwa,2,001000,franka,7.54,-3.77
xemb1iiwa,2,001000,franka,-5.1,6.15
xemb1iiwa,2,001000,franka,-3.68,9.74
xemb1iiwa,2,001000,franka,11.7,25.23
xemb1iiwa,2,001000,franka,7.34,-3.87
xemb1iiwa,2,001000,franka,-4.25,8.54
xemb1iiwa,2,001000,franka,12.01,25.15
xemb1iiwa,2,001000,franka,11.53,24.21
xemb1iiwa,2,001000,franka,8.09,-3.8
xemb1iiwa,2,001000,franka,-4.3,9.49
xemb1iiwa,2,001000,franka,-4.35,10.04
xemb1iiwa,2,001000,franka,12.18,25.21
xemb1iiwa,2,001000,franka,6.89,-3.82
xemb1iiwa,2,001000,franka,12.14,25.26
xemb1iiwa,2,001000,franka,6.89,-3.8
xemb1iiwa,2,001000,franka,2.54,22.92
xemb1iiwa,2,001000,franka,-3.55,9.56
xemb1iiwa,2,001000,franka,11.95,25.18
xemb1iiwa,2,001000,franka,11.11,25.27
xemb1iiwa,2,001000,franka,1.86,23.1
xemb1iiwa,2,001000,franka,-2.7,9.62
xemb1iiwa,2,001000,franka,8.05,-3.57
xemb1iiwa,2,001000,franka,1.91,22.89
xemb1iiwa,2,001000,franka,-4.74,10.16
xemb1iiwa,2,001000,franka,12.19,25.34
xemb1iiwa,2,001000,franka,7.92,-8.34
xemb1iiwa,2,001000,franka,11.6,25.5
xemb1iiwa,2,001000,franka,7.85,-8.37
xemb1iiwa,2,001000,franka,-4.85,7.92
xemb1iiwa,2,001000,franka,7.77,-8.57
xemb1iiwa,2,001000,franka,7.96,-8.36
xemb1iiwa,2,001000,franka,1.66,22.75
xemb1iiwa,2,001000,franka,11.74,25.27
xemb1iiwa,2,001000,franka,-5.48,5.76
xemb1iiwa,2,001000,franka,-3.82,8.77
xemb1iiwa,2,001000,franka,-4.07,9.59
